City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
2,Tual,ID,84.02,broken clouds,-5.6667,132.75,Grand Vilia Hotel
6,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
7,Phrae,TH,80.6,clear sky,18.0833,100.0,Gingerbread Cottage Resort & Spa
13,Hithadhoo,MV,82.4,scattered clouds,-0.6,73.0833,Scoop Guest House
17,Riberalta,BO,75.87,overcast clouds,-10.9833,-66.1,Hotel Colonial
25,Mahebourg,MU,82.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
30,Saint-Philippe,RE,82.22,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Airai,TL,70.74,overcast clouds,-8.9266,125.4092,Juvinal Martin
32,Lakatoro,VU,84.18,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
33,Atuona,PF,78.89,clear sky,-9.8,-139.0333,Villa Enata
34,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
35,Victoria,HK,71.04,scattered clouds,22.2855,114.1577,Mini Hotel Central
37,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
43,Manicore,BR,73.63,overcast clouds,-5.8092,-61.3003,Hotel Durval
46,Sesheke,ZM,74.46,scattered clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
54,Grand Gaube,MU,82.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
56,Alofi,NU,79.14,overcast clouds,-19.0595,-169.9187,Taloa Heights
62,Kapaa,US,73.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
64,Esperance,AU,70.05,clear sky,-33.8667,121.9,Hospitality Esperance
66,Honiara,SB,83.8,overcast clouds,-9.4333,159.95,Heritage Park Hotel
69,Phonhong,LA,71.42,overcast clouds,18.5007,102.4166,Manyvong Guest House
